cnpj,atrib_len_avg,n,cnss,ceps
13.100.722/0001-60,3,995,991,530
"",4,577,563,496
09.444.530/0001-01,4,29,29,28
13.572.714/0001-16,3,28,28,18
06.981.344/0001-05,11,25,25,21
28.538.734/0001-48,4,22,21,19
02.292.266/0001-80,5,12,12,12
09.283.185/0001-63,3,10,10,10
25.053.190/0001-36,4,7,7,7
04.034.872/0001-21,7,5,4,5
12.473.062/0001-08,4,5,5,4
13.166.970/0001-03,4,5,5,5
27.128.941/0001-61,1,5,1,5
30.506.596/0001-67,4,5,1,5
00.531.954/0001-20,2,3,3,3
02.751.394/0001-45,6,3,2,1
04.812.509/0001-90,18,3,3,3
06.981.334/0001-05,10,3,3,3
10.249.225/0001-30,6,3,3,3
20.451.415/0001-99,1,3,3,1
27.128.784/0001-94,1,3,1,2
30.715.064/0001-30,1,3,1,2
89.522.064/0001-66,3,3,3,3
00.618.603/0001-51,7,2,1,2
00.678.796/0001-36,9,2,2,2
00.965.889/0001-41,5,2,2,1
01.160.009/0001-22,3,2,2,1
01.854.986/0001-20,6,2,2,1
02.563.385/0001-20,5,2,2,1
02.668.366/0001-69,7,2,1,1
02.697.209/0001-81,3,2,2,1
02.713.022/0001-24,6,2,2,1
02.751.444/0001-94,5,2,2,1
02.790.632/0001-21,3,2,1,1
02.887.347/0001-23,8,2,2,1
02.888.030/0001-01,8,2,2,1
02.888.055/0001-05,2,2,2,2
02.889.657/0001-87,4,2,2,1
02.889.665/0001-23,4,2,2,1
02.994.916/0001-30,9,2,1,1
03.756.951/0001-83,9,2,1,1
03.946.704/0001-40,6,2,2,2
04.461.356/0002-64,1,2,1,2
04.541.397/0001-80,4,2,2,2
04.567.897/0001-90,3,2,2,2
04.696.308/0001-74,1,2,1,2
06.588.073/0001-22,4,2,2,1
06.596.084/0001-54,6,2,2,1
06.728.059/0001-87,5,2,2,1
06.988.522/0001-20,3,2,2,2
07.472.774/0001-64,7,2,1,1
08.016.803/0001-46,2,2,2,1
08.298.317/0001-68,3,2,2,1
08.354.615/0001-28,5,2,2,1
08.430.489/0001-43,6,2,2,1
09.202.252/0001-78,6,2,1,1
09.309.593/0001-47,3,2,1,1
09.360.282/0001-02,6,2,2,1
09.658.853/0001-67,6,2,2,1
10.219.087/0001-46,3,2,1,1
10.241.427/0001-35,3,2,2,1
10.444.268/0001-76,5,2,2,2
10.788.433/0001-07,4,2,1,1
10.866.873/0001-35,5,2,2,1
11.465.179/0001-79,1,2,2,2
11.984.119/0001-62,3,2,1,1
12.131.486/0001-86,8,2,2,1
12.770.144/0001-06,7,2,1,1
13.100.722/0001-16,3,2,2,1
15.061.732/0001-69,5,2,2,1
15.389.562/0001-46,5,2,2,1
16.430.787/0001-61,4,2,2,2
20.218.517/0001-69,2,2,2,1
20.321.394/0001-97,1,2,2,1
20.345.633/0001-49,1,2,2,1
20.367.678/0001-14,2,2,2,1
20.384.913/0001-66,3,2,2,1
20.397.303/0001-05,1,2,2,1
20.913.927/0001-20,3,2,2,1
20.953.428/0001-66,3,2,2,1
21.180.104/0001-03,2,2,2,1
21.248.596/0001-13,4,2,1,1
21.252.465/0001-00,2,2,2,1
21.299.581/0001-84,2,2,2,1
23.445.042/0001-31,8,2,2,2
25.065.137/0001-55,8,2,2,1
26.619.734/0001-47,5,2,1,1
27.744.663/0001-77,5,2,1,2
28.494.029/0001-96,4,2,2,2
29.631.769/0001-90,4,2,1,1
30.320.238/0001-65,9,2,1,1
30.398.051/0001-84,7,2,1,1
30.404.883/0001-66,7,2,1,1
30.444.392/0001-49,8,2,2,1
30.653.257/0001-03,7,2,2,1
30.966.659/0001-68,4,2,1,1
34.593.509/0001-07,1,2,1,2
51.355.378/0001-49,4,2,1,1
51.803.377/0001-10,4,2,2,2
63.743.942/0001-80,26,2,2,2
76.717.131/0001-56,4,2,1,1
77.935.070/0001-66,6,2,1,1
78.031.127/0001-65,4,2,2,2
78.059.854/0001-30,6,2,1,2
78.068.228/0001-00,2,2,2,1
78.190.253/0001-62,4,2,2,1
78.242.583/0001-54,1,2,2,1
78.500.832/0001-64,5,2,2,1
83.829.150/0001-30,4,2,2,1
84.118.686/0001-00,25,2,2,2
